name,tier,activation,ranked,description,source
All-Terrain Driver,1,False,False,Do not suffer usual penalties for driving through difficult terrain when using Driving.,"ACRB, ETU, ND"
Apothecary,1,False,True,"When a patient under your character's care heals wounds from natural rest, they heal additional wounds equal to twice your character's ranks in Apothecary.",ROT
Armor Master,1,False,False,"When wearing armor, Increase total soak value by 1.","ACRB, EBGR, ECRB, KTP"
Black Market Contacts,1,False,True,"When purchasing illegal goods, may reduce rarity by 1 per rank of Black-Market Contacts, increasing cost by 50 percent of base cost per reduction.",ECRB
Basic Combat Training,1,False,False,"When you take this talent, your character gains Brawl, Ranged (Heavy), or Ranged (Light) as a career skill.",EOTI
Bought Info,1,False,False,"When making any knowledge skill check, your character can instead use this talent to spend an amount of currency equal to fifty times the difficulty of the check and automatically succeed on the knowledge check with one uncanceled [success] (instead of rolling). At your GM's discretion, your character may not be able to use Bought Info if the information is particularly sensitive or difficult to find or buying it doesn't make narrative sense.",GCRB
Brace,1,False,True,"As a maneuver, the character may Brace himself. This allows a character to remove ■ per rank of Brace from the next skill check based on changing conditions, inclement weather, unstable surfaces, zero gravity, heavy gravity, or other disruptive physical obstacles that would make a skill check more difficult.","ACRB, ECRB"
Bullrush,1,False,False,"When your character makes a Brawl, Melee (Light), or Melee (Heavy) combat check after using a maneuver to engage a target, you may spend [advantage] [advantage] [advantage] or [triumph] to use this talent to knock the target prone and move them up to one range band away from your character.",ROT
Call 'Em,1,False,False,Do not add ■ to combat checks due to the use of the Aim maneuver.,FC
Challenge!,1,False,True,"Once per encounter, your character may use this talent to choose a number of adversaries within short range no greater than your character's ranks in Challenge! (a minion group counts as a single adversary for this purpose). Until the encounter ends or your character is incapacitated, these adversaries add ■ to combat checks targeting your character and ■■ to combat checks targeting other characters.",ROT
Clever Retort,1,False,False,"Once per encounter, your character may use this talent to add automatic [threat] [threat] to another character's social skill check.",GCRB
Component Casting,1,False,False,"When your character cast a spell, they may use this talent to consume a physical item and add ■ to the check. The item does not have to be expensive or rare, but it does have to be thematically appropriate for the spell, available to your character and subject to the GM's approval.",GEPG
Construction Specialist,1,False,True,"Your character removes one ■ per rank of Construction Specialist from checks made to construct bases, defense works, positions, fortifications, tunnels, bunkers, and similar combat engineering projects.",FO
Cosmopolitan Upbringing,1,False,False,"When you take this talent, your character gains Streetwise or Knowledge (Culture) as a career skill. In addition, when using one of these skills to resolve a conflict between members of different","species, your character may spend [advantage] [advantage] to heal 3 strain."
Corporate Drone,1,False,False,"When you take this talent, your character gains Knowledge (Society) or Negotiation as a career skill. In addition, once per session, your character may collect a small favor from any other member of a single corporation (chosen when you take this talent), even if ",they do not owe your character a favor.
Creative Design,1,False,True,"As part of resolving a successful crafting check, your character may also apply a result equivalent to spending a number of [advantage] equal to their ranks in Creative Design. The GM may then apply a result equivalent to the same number of [threat].",FO
